CloneOf;Name;Description;Year;Manufacturer
;eshockey;Exciting Speed Hockey (V19930325);1993;Sega
;esoccer;Electronic Soccer (Entex);1979;Entex
;espgal;Espgaluda (2003/10/15 Master Ver);2003;Cave (AMI license)
;espgal2;Espgaluda II (2005/11/14.MASTER VER.);2005;Cave (AMI license)
espgal2;espgal2a;Espgaluda II (2005/11/14 MASTER VER, newer CV1000-B PCB);2005;Cave (AMI license)
espgal2;espgal2b;Espgaluda II (2005/11/14 MASTER VER, original CV1000-B PCB);2005;Cave (AMI license)
espgal;espgalbl;Espgaluda (2003/10/15 Master Ver, bootleg cartridge conversion);2003;bootleg
;espial;Espial (Europe);1983;Orca / Thunderbolt
espial;espialu;Espial (US?);1983;Orca / Thunderbolt
;esprade;ESP Ra.De. (World, 1998 4/22 International Ver.);1998;Cave (Atlus license)
esprade;espradej;ESP Ra.De. (Japan, 1998 4/21 Master Ver.);1998;Cave (Atlus license)
esprade;espradejo;ESP Ra.De. (Japan, 1998 4/14 Master Ver.);1998;Cave (Atlus license)
;esprit;Esprit;1981;Hazeltine
esprit;esprit3;Esprit III;1981;Hazeltine
;esq1;ESQ-1 Digital Wave Synthesizer;1986;Ensoniq
;esq1_filters;ESQ1 Filters stage;;
;esq1x22;Ensoniq 1x22 VFD;;
;esq2x16_sq1;Ensoniq 2x16 VFD (SQ-1 variant);;
;esq2x40;Ensoniq 2x40 VFD;;
;esq2x40_sq1;Ensoniq 2x40 VFD (SQ-1 variant);;
;esq_5505_5510_pump;Ensoniq 5505/5506 to 5510 interface;;
esq1;esqm;ESQ-M Digital Wave Synthesizer Module;1986;Ensoniq
;esqpanel122;Ensoniq front panel with 1x22 VFD;;
;esqpanel216_sq1;Ensoniq front panel with 2x16 LCD;;
;esqpanel240;Ensoniq front panel with 2x40 VFD;;
;esqpanel240_vfx;Ensoniq front panel with 2x40 VFD for VFX family;;
;esrip;Entertainment Sciences RIP;;
;estargte;Stargate (Entex);1982;Entex
;estrike;Eagle Strike (40289711, NSW/ACT);2010;Aristocrat
;eswat;E-Swat - Cyber Police (set 4, World) (FD1094 317-0130);1989;Sega
eswat;eswatbl;E-Swat - Cyber Police (bootleg, set 1);1989;bootleg
eswat;eswatbl2;E-Swat - Cyber Police (bootleg, set 2);1989;bootleg
eswat;eswatd;E-Swat - Cyber Police (set 4, World) (bootleg of FD1094 317-0130 set);1989;bootleg
eswat;eswatj;E-Swat - Cyber Police (set 2, Japan) (FD1094 317-0128);1989;Sega
eswat;eswatj1;E-Swat - Cyber Police (set 1, Japan) (FD1094 317-0131);1989;Sega
eswat;eswatj1d;E-Swat - Cyber Police (set 1, Japan) (bootleg of FD1094 317-0131 set);1989;bootleg
eswat;eswatjd;E-Swat - Cyber Police (set 2, Japan) (bootleg of FD1094 317-0128 set);1989;bootleg
eswat;eswatu;E-Swat - Cyber Police (set 3, US) (FD1094 317-0129);1989;Sega
eswat;eswatud;E-Swat - Cyber Police (set 3, US) (bootleg of FD1094 317-0129 set);1989;bootleg
;et3400;Heathkit Model ET-3400 Microprocessor Trainer;1976;Heath Company
;et4000;SVGA Tseng ET4000 Graphics Card;;
;eti660;ETI-660 Learners' Microcomputer;1981;Electronics Today International
;etna;Psion 5mx ETNA;;
;eto;Kokontouzai Eto Monogatari (Japan);1994;Visco
;eturtles;Turtles (Entex);1982;Entex
;eurit30;Eurit 30;1996;Ascom
;euro2k2;Europa 2002 (Ver 2.0, set 1);2001;Nazionale Elettronica
euro2k2;euro2k2a;Europa 2002 (Ver 2.0, set 2);2001;Nazionale Elettronica
euro2k2;euro2k2s;Europa 2002 Space (Ver 3.0);2002;Nazionale Elettronica
ibm5170;euroat;Euro AT;1989;Schneider Rundfunkwerke AG
;euroch92;Euro Champ '92 (World);1992;Taito Corporation Japan
;eurocom2;Eurocom II V7;1981;Eltec
;eurodsr;Euro Double Star Record (ver.1.2);200?;<unknown>
twcup90;eurogael;Euro League (Gaelco bootleg, Modular System);1989;bootleg (Gaelco / Ervisa)
;eurogame;The Euro Game (set 1);2002?;Novotech
eurogame;eurogamea;The Euro Game (set 2);2002?;Novotech
;europass;Euro Pass (Ver 1.1);200?;<unknown>
;europc;EURO PC;1988;Schneider Rdf. AG
;europc2;EURO PC II;198?;Schneider Rdf. AG
;europc_fdc;EURO PC FDC hookup;;
;europc_kbd;EURO PC Keyboard;;
;europl01;EuroPlay 2001;2001;Sleic / Petaco
;euroxt;EURO XT;198?;Schneider Rdf. AG
ibm5170;ev1806;EV-1806;198?;Everex Systems
ibm5170;ev1815;EV-1815;198?;Everex Systems
;ev346;Everex EV-346 disk controller;;
eva24;eva11;Electronic Voice Alert (11-function);1983;Chrysler
;eva24;Electronic Voice Alert (24-function);1984;Chrysler
;evelknie;Evel Knievel;1977;Bally
;evilngt;Evil Night (ver UBA);1998;Konami
evilngt;evilngte;Evil Night (ver EAA);1998;Konami
;evilston;Evil Stone;1990;Spacy Industrial, Ltd.
;evio;Evio (Japan);2003;Tomy / SSD Company LTD
;evlfight;Evil Fight;1980;Playmatic
;evmbug;TMAM 6095;198?;Texas Instruments
;evosocc;Evolution Soccer;2001;Evoga
;ewf;Earth Wind Fire;1981;Zaccaria
ibm5170;ews286;Ericsson WS286;1986;Ericsson
;ews4800_310;EWS4800/310;1993;NEC
;ex1280;Vectrix EX1280;;
;ex800;Epson EX-800;;
dw8000;ex8000;EX-8000 Programmable Polyphonic Synthe Module;1985;Korg
;excali64;Excalibur 64;1984;BGR Computers
;excalibr;Excalibur;1988;Gottlieb
excalibr;excalibrf;Excalibur (French);1988;Gottlieb
excalibr;excalibrg;Excalibur (German);1988;Gottlieb
;excellent_spr;Excellent 8-bit Sprite;;
;excelsr;Excelsior (set 1);1996;Playmark
excelsr;excelsra;Excelsior (set 2);1996;Playmark
;exchess;Executive Chess;1981;SciSys
;excitbj;Exciting Black Jack;1989;Sega
;excitebk;Vs. Excitebike (set EB4-3 E);1984;Nintendo
excitebk;excitebkj;Vs. Excitebike (set EB4-4 A);1984;Nintendo
excitebk;excitebko;Vs. Excitebike (set EB4-3 ?);1984;Nintendo
matmania;excthour;Exciting Hour;1985;Technos Japan (Taito license)
;exctleag;Excite League (FD1094 317-0079);1988;Sega
exctleag;exctleagd;Excite League (bootleg of FD1094 317-0079 set);1988;bootleg
;exctscc2;Exciting Soccer II;1984;Alpha Denshi Co.
;exctsccr;Exciting Soccer;1983;Alpha Denshi Co.
exctsccr;exctsccra;Exciting Soccer (alternate music);1983;Alpha Denshi Co.
exctsccr;exctsccrb;Exciting Soccer (bootleg);1983;bootleg (Kazutomi)
exctsccr;exctsccrj;Exciting Soccer (Japan);1983;Alpha Denshi Co.
exctsccr;exctsccrjo;Exciting Soccer (Japan, older);1983;Alpha Denshi Co.
exctsccr;exctsccru;Exciting Soccer (US);1983;Alpha Denshi Co.
;exedexes;Exed Exes;1985;Capcom
exl100;exeltel;Exeltel;1986;Exelvision
;exerion;Exerion;1983;Jaleco
exerion;exerionb;Exerion (bootleg, set 1);1983;bootleg
exerion;exerionb2;Exerion (bootleg, set 2);1983;bootleg
exerion;exerionba;Exerion (Assa, bootleg);1983;bootleg (Assa)
exerion;exeriont;Exerion (Taito);1983;Jaleco (Taito America license)
skyfox;exerizer;Exerizer (Japan);1987;Jaleco
skyfox;exerizerb;Exerizer (bootleg);1987;bootleg
;exidy440_sound;Exidy 440 CVSD;;
;exidy_sfx;Exidy SFX;;
;exl100;EXL 100;1984;Exelvision
redufo;exodus;Exodus (bootleg?);19??;bootleg? (Subelectro)
;exorciser;M6800 EXORciser (M68SDT);1975;Motorola
;exorterm155;EXORterm 155;1979;Motorola
;exorterm155_device;EXORTERM155;;
;exorterm155_terminal;EXORterm 155 Terminal;;
ibm5170;exp4044;EXP4044;199?;ExpertChip
;exp85;Explorer/85;1979;Netronics
;exp_slot;86-pin expansion slot;;
;expcard;Express Card / Top Card (Ver. 1.5);1998;Subsino (American Alpha license)
expert13;expert10;Expert XP-800 (1.0) (MSX1, Brazil);1985;Gradiente
expert13;expert11;Expert XP-800 (1.1) / Expert GPC-1 (MSX1, Brazil);198?;Gradiente
;expert13;Expert 1.3 (MSX1, Brazil);198?;Gradiente
;expert20;Expert 2.0 (MSX2, Brazil);1986;Gradiente
;expert3i;Expert 3 IDE (MSX2+, Brazil);19??;Ciel
;expert3t;Expert 3 Turbo (MSX2+, Brazil);1996;Ciel
;expertac;Expert AC88+ (MSX2+, Brazil);19??;Gradiente
;expertdp;Expert DDPlus (MSX1, Brazil);1989;Gradiente
;expertdx;Expert DDX+ (MSX2+, Brazil);19??;Gradiente
;expertpl;Expert Plus (MSX1, Brazil);1989;Gradiente
;explbrkr;Explosive Breaker (World);1992;Kaneko
explbrkr;explbrkrk;Explosive Breaker (Korea);1992;Kaneko
;explorapro;NCD Explora Pro XQ;1995;Network Computing Devices
scramble;explorer;Explorer (bootleg of Scramble);1981;bootleg (Sidam)
;exprraid;Express Raider (World, Rev 4);1986;Data East Corporation
exprraid;exprraidi;Express Raider (Italy);1986;Data East Corporation
exprraid;exprraidu;Express Raider (US, rev 5);1986;Data East USA
;exsafar;Safari (Extrema, Ukraine, V. 43.14);2003;Extrema
exsafar;exsafara;Safari (Extrema, Ukraine, V. 43.08);2003;Extrema
exsafar;exsafarb;Safari (Extrema, Ukraine, V. 42.07);2003;Extrema
exsafar;exsafarc;Safari (Extrema, Ukraine, V. 42.04);2003;Extrema
;exsprt48;Excite Sports Wireless Interactive TV Game - 48-in-1 (NTSC);200?;Excite
;extdwnhl;Extreme Downhill (v1.5);1995;Sammy Industries Japan
;exterm;Exterminator;1989;Gottlieb / Premier Technology
;extradrw;Extra Draw;200?;IGS
;extrmatn;Extermination (World);1987;Taito Corporation Japan
extrmatn;extrmatnj;Extermination (Japan);1987;Taito Corporation
extrmatn;extrmatnu;Extermination (US, World Games);1987;Taito (World Games license)
extrmatn;extrmatnur;Extermination (US, Romstar);1987;Taito America Corporation (Romstar license)
;extrmth;Treasure Hunt (Extrema, Ukraine, V. 34.03);200?;Extrema
extrmth;extrmtha;Treasure Hunt (Extrema, Ukraine, V. 34.02);200?;Extrema
;extrmti;Treasure Island (Extrema, Ukraine, V. 32.49);200?;Extrema
;exvania;Exvania (World);1992;Namco
exvania;exvaniaj;Exvania (Japan);1992;Namco
;exzisus;Exzisus (Japan, dedicated);1987;Taito Corporation
exzisus;exzisusa;Exzisus (Japan, conversion);1987;Taito Corporation
exzisus;exzisust;Exzisus (TAD license);1987;Taito Corporation (TAD license)
;eyes;Eyes (US set 1);1982;Techstar (Rock-Ola license)
eyes;eyes2;Eyes (US set 2);1982;Techstar (Rock-Ola license)
eyes;eyesb;Eyes (bootleg set 1);1982;bootleg
eyes;eyeszac;Eyes (Italy);1982;Techstar (Zaccaria license)
eyes;eyeszacb;Eyes (bootleg set 2, decrypted);1982;bootleg
;ez2d2m;Ez2dancer 2nd Move;2001;Amuse World
;ez80;Zilog eZ80;;
;eztouch;EZ Touch (v116 China);200?;IGS
;f1;Apricot F1;1984;ACT
f1;f10;Apricot F10;1985;ACT
1292apvs;f1392;Fountain 1392;1979;Fountain
;f14_l1;F-14 Tomcat (L-1);1987;Williams
f14_l1;f14_p3;F-14 Tomcat (P-3);1987;Williams
f14_l1;f14_p4;F-14 Tomcat (P-4);1987;Williams
f14_l1;f14_p5;F-14 Tomcat (P-5);1987;Williams
;f15se;F-15 Strike Eagle (rev. 2.2 02/25/91);1991;Microprose Games Inc.
f15se;f15se21;F-15 Strike Eagle (rev. 2.1 02/04/91);1991;Microprose Games Inc.
;f1_daisy;F1 daisy chain abstraction;;
;f1dream;F-1 Dream;1988;Capcom (Romstar license)
f1dream;f1dreamb;F-1 Dream (bootleg, set 1);1988;bootleg
f1dream;f1dreamba;F-1 Dream (bootleg, set 2);1988;bootleg
f1;f1e;Apricot F1e;1984;ACT
;f1en;F1 Exhaust Note (World, Rev A);1991;Sega
f1en;f1enj;F1 Exhaust Note (Japan, Rev A);1991;Sega
f1en;f1enu;F1 Exhaust Note (US, Rev A);1991;Sega
;f1gp;F-1 Grand Prix (set 1);1991;Video System Co.
;f1gp2;F-1 Grand Prix Part II;1992;Video System Co.
f1gp;f1gpa;F-1 Grand Prix (set 2);1991;Video System Co.
f1gp;f1gpb;F-1 Grand Prix (Playmark bootleg);1991;bootleg (Playmark)
;f1gpp;F1 Grand Prix (Nuova Bell Games);1987;Nuova Bell Games
;f1gpstar;Grand Prix Star (ver 4.0);1992;Jaleco
f1gpstar;f1gpstar2;Grand Prix Star (ver 2.0);1991;Jaleco
f1gpstar;f1gpstar3;Grand Prix Star (ver 3.0);1991;Jaleco
;f1gpstr2;F-1 Grand Prix Star II;1993;Jaleco
;f1lap;F1 Super Lap (World);1993;Sega
f1lap;f1lapj;F1 Super Lap (Japan);1993;Sega
f1lap;f1lapt;F1 Super Lap (World, Unprotected);1993;Sega
;f1superb;F-1 Super Battle;1994;Jaleco
f1;f2;Apricot F2;1984;ACT
;f2mc16;Fujitsu Micro F2MC-16;;
;f2pbball;2 Player Baseball (Fonas);1979;Fonas
;f355;Ferrari F355 Challenge (deluxe, no link);1999;Sega
;f355bios;NAOMI Ferrari F355 Challenge (twin-deluxe) BIOS;1999;Sega
;f355dlx;NAOMI Ferrari F355 Challenge (deluxe) BIOS;1999;Sega
f355;f355p;Ferrari F355 Challenge (private show version);1999;Sega
;f355twin;Ferrari F355 Challenge (twin/deluxe);1999;Sega
f355twin;f355twinp;Ferrari F355 Challenge (twin/deluxe, preview);1999;Sega
;f355twn2;Ferrari F355 Challenge 2 - International Course Edition (twin/deluxe);2001;Sega
;f3851_psu;Fairchild F3851 PSU;;
;f3853_smi;Fairchild F3853 SMI;;
;f3856_psu;Fairchild F3856 PSU;;
;f387x;F387X PEP System;1979;Fairchild Instrument & Camera Corporation
;f38t56_psu;Fairchild F38T56 PSU;;
;f3in1;3 in 1: Football, Basketball, Soccer;1979;Fonas
;f4431;4431;1981;Facit
;f4431_kbd;Facit F4431 keyboard;;
;f4702;Fairchild 4702B Bit Rate Generator;;
ibm5170;f4dxluc4;F4DXL-UC4;199?;ADI
;f5220_kbd;F5220 Keyboard;;
;f8;Fairchild F8;;
;f9334;Fairchild 9334 Addressable Latch;;
fghtatck;fa;F/A (Japan);1992;Namco
;faceoff;Face Off (Japan 2 Players);1988;Namco
chexx83;faceoffh;Face-Off (EM Bubble Hockey);1983;SoftLogic (Entertainment Enterprises, Ltd. license)
;facit4440;4440 Twist (30M-F1);1984;Facit
;faeton;Faeton (7 digits);1985;Juegos Populares
faeton;faeton6d;Faeton (6 digits);1985;Juegos Populares
;failgate;Fail Gate;1991;Success (Seibu Kaihatsu license)
;fairyl2;Fairy Land 2 (set 1);2004;Belatra
fairyl2;fairyl2a;Fairy Land 2 (set 2);2004;Belatra
fairyl2;fairyl2b;Fairy Land 2 (set 3);2004;Belatra
fairyl2;fairyl2bl;Fairy Land 2 (bootleg);2004;Belatra
;falcnwld;Falcons Wild - Wild Card 1991 (TVG);1991;TVG
falcnwld;falcnwlda;Falcons Wild - World Wide Poker (Video Klein, set 1);1990;Video Klein
falcnwld;falcnwldb;Falcons Wild - World Wide Poker (Video Klein, set 2);1990;Video Klein
falcnwld;falcnwldc;Falcons Wild - World Wide Poker (Falcon original);1983;Falcon
falco5220e;falco500e;Falco 500e;1991;Falco Data Products
;falco5220e;Falco 5220e;1987;Falco Data Products
falco5220e;falco5220s;Falco 5220s;1989;Falco Data Products
phoenix;falcon;Falcon (bootleg of Phoenix) (8085A CPU);1980;bootleg
;falcon30;Falcon030;1992;Atari
falcon30;falcon40;Falcon040 (prototype);1992;Atari
phoenix;falconz;Falcon (bootleg of Phoenix) (Z80 CPU);1980;bootleg (Digimatic)
;famibox;FamicomBox;1986;Nintendo
;famicom;Famicom;1983;Nintendo
famicom;famicomo;Famicom (earlier, with RP2A03);1983;Nintendo
famibox;famistat;FamicomStation;1986;Nintendo
famicom;famitvc1;My Computer Terebi C1;1983;Sharp
famicom;famitwin;Twin Famicom;1986;Sharp
;famlyfun;Family Fun!;1979;Game Plan
;fantasia;Fantasia (940429 PCB, set 1);1994;Comad & New Japan System
fantasia;fantasiaa;Fantasia (940307 PCB);1994;Comad & New Japan System
fantasia;fantasiab;Fantasia (940429 PCB, set 2);1994;Comad & New Japan System
fantasia;fantasian;Fantasia (940803 PCB);1994;Comad & New Japan System
;fantastc;Fantastic (Galaga conversion on Galaxian hardware);198?;Taito do Brasil
;fantasy;fantasy;;
;fantasy_sound;SNK Fantasy Sound;;
fantasyu;fantasyg;Fantasy (Germany, set 1);1981;SNK
fantasyu;fantasyg2;Fantasy (Germany, set 2);1981;SNK
fantasyu;fantasyj;Fantasy (Japan);1981;SNK
;fantasyu;Fantasy (US);1981;SNK (Rock-Ola license)
mooncrst;fantazia;Fantazia (bootleg?);1980;bootleg (Subelectro)
;fantcar;Fantastic Car (M89 hardware);19??;Falgas
fantcar;fantcar87;Fantastic Car (Micro-87 hardware);1987;Falgas
;fantjour;Fantastic Journey (ver EAA);1994;Konami
fantjour;fantjoura;Fantastic Journey (ver AAA);1994;Konami
;fantland;Fantasy Land (set 1);19??;Electronic Devices Italy
fantland;fantlanda;Fantasy Land (set 2);19??;Electronic Devices Italy
;fantsia2;Fantasia II (Explicit);1997;Comad
fantsia2;fantsia2a;Fantasia II (Less Explicit);1997;Comad
fantsia2;fantsia2n;Fantasia II (1998);1998;Comad
;fantstry;Fantasy Story (set 1);2002;Z Soft
fantstry;fantstrya;Fantasy Story (set 2);2002;Z Soft
newfant;fantsy95;Fantasy '95;1995;Hi-max Technology Inc.
;fantzn2;Fantasy Zone II - The Tears of Opa-Opa (MC-8123, 317-0057);1988;Sega
;fantzn2x;Fantasy Zone II - The Tears of Opa-Opa (System 16C version);2008;Sega / M2
fantzn2x;fantzn2xp;Fantasy Zone II - The Tears of Opa-Opa (System 16C version, prototype);2008;Sega / M2
;fantzone;Fantasy Zone (Rev A, unprotected);1986;Sega
fantzone;fantzone1;Fantasy Zone (unprotected);1986;Sega
fantzone;fantzonee;Fantasy Zone (FD1089B 317-0016);1986;Sega
fantzone;fantzonep;Fantasy Zone (317-5000);1986;Sega
fantzone;fantzonepr;Fantasy Zone (prototype);1986;Sega
fantzone;fantzoneta;Fantasy Zone (Time Attack, bootleg);2008;bootleg
;fanucs15;System 15;1990;Fanuc
;fanucspg;System P Model G;1983;Fanuc
fanucspg;fanucspgm;System P Model G (monochrome);1983;Fanuc
;fanzonem;Fantasy Zone (medal game, REV.A) (J 990202 V1.000);1999;Sega
;fapocket;Family Pocket 638 in 1;2017;<unknown>
;farfalla;Farfalla;1983;Zaccaria
farfalla;farfallag;Farfalla (German speech);1983;Zaccaria
farfalla;farfallai;Farfalla (Italian speech);1983;Zaccaria
ikki;farmer;Farmers Rebellion;1985;Sun Electronics
ironhors;farwest;Far West;1986;bootleg?
brasil;fashion;Fashion (Version 2.14);2000;High Video
;fashiong;Fashion Gambler (set 1);1997;ADP
fashiong;fashiong2;Fashion Gambler (set 2);1997;ADP
;fastdraw;Fast Draw Showdown (v1.31);1995;American Laser Games
fastdraw;fastdraw_130;Fast Draw Showdown (v1.30);1995;American Laser Games
;fastdrwp;Fast Draw (poker conversion kit)?;198?;Stern Electronics?
;fastfort;Fast Fortune (0100651V, NSW/ACT);1998;Aristocrat
flyboy;fastfred;Fast Freddie;1982;Kaneko (Atari license)
;fastlane;Fast Lane;1987;Konami
motrshow;fasttrack;Fast Track;1989;Mr Game
;fateulc;Fate: Unlimited Codes (FUD1 ver. A);2008;Capcom / Namco
fateulc;fateulcb;Fate: Unlimited Codes (bootleg);2008;bootleg
;fatfursp;Fatal Fury Special / Garou Densetsu Special (NGM-058 ~ NGH-058, set 1);1993;SNK
fatfursp;fatfurspa;Fatal Fury Special / Garou Densetsu Special (NGM-058 ~ NGH-058, set 2);1993;SNK
;fatfurspb;Fatal Fury Special (SNES bootleg);199?;bootleg
;fatfurwa;Fatal Fury: Wild Ambition / Garou Densetsu: Wild Ambition (rev.A);1998;SNK
;fatfury1;Fatal Fury - King of Fighters / Garou Densetsu - Shukumei no Tatakai (NGM-033 ~ NGH-033);1991;SNK
;fatfury2;Fatal Fury 2 / Garou Densetsu 2 - Arata-naru Tatakai (NGM-047 ~ NGH-047);1992;SNK
;fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - Haruka-naru Tatakai (NGM-069 ~ NGH-069);1995;SNK
;fathom;Fathom;1981;Bally
;fax;FAX;1983;Exidy
fax;fax2;FAX 2;1983;Exidy
;fb01;FB-01 FM Sound Generator;1986;Yamaha
;fb2010;Fruit Bonus 2010;2009;Amcoe
;fb2gen;Fruit Bonus 2nd Generation (Version 1.8E Dual);2004;Amcoe
fb2gen;fb2genc1;Fruit Bonus 2nd Generation (Version 1.8R, set 1);2004;Amcoe
fb2gen;fb2genc2;Fruit Bonus 2nd Generation (Version 1.8LT, set 1);2004;Amcoe
fb2gen;fb2gend1;Fruit Bonus 2nd Generation (Version 1.8R, set 2);2004;Amcoe
fb2gen;fb2gend2;Fruit Bonus 2nd Generation (Version 1.8LT, set 2);2004;Amcoe
fb2gen;fb2geno;Fruit Bonus 2nd Generation (Version 1.6XT);2004;Amcoe
fb2gen;fb2geno2;Fruit Bonus 2nd Generation (Version 1.5);2004;Amcoe
fb2gen;fb2genv1;Fruit Bonus 2nd Generation (Version 1.8R Dual);2004;Amcoe
fb2gen;fb2genv2;Fruit Bonus 2nd Generation (Version 1.8LT Dual);2004;Amcoe
;fb2nd;Fruit Bonus 2nd Edition (Version 1.8R, set 1);2004;Amcoe
fb2nd;fb2ndc2;Fruit Bonus 2nd Edition (Version 1.8LT, set 1);2004;Amcoe
fb2nd;fb2ndd1;Fruit Bonus 2nd Edition (Version 1.8R, set 2);2004;Amcoe
fb2nd;fb2ndd2;Fruit Bonus 2nd Edition (Version 1.8LT, set 2);2004;Amcoe
fb2nd;fb2ndo;Fruit Bonus 2nd Edition (Version 1.5);2004;Amcoe
fb2nd;fb2ndv1;Fruit Bonus 2nd Edition (Version 1.8R Dual);2004;Amcoe
fb2nd;fb2ndv2;Fruit Bonus 2nd Edition (Version 1.8LT Dual);2004;Amcoe
;fb3g;Fruit Bonus 3G (Version 1.0.3);200?;Amcoe
;fb4;Fruit Bonus 2004 (Version 1.5R, set 1);2004;Amcoe
fb4;fb4b2;Fruit Bonus 2004 (Version 1.5LT, set 1);2004;Amcoe
fb4;fb4c1;Fruit Bonus 2004 (Version 1.5R, set 2);2004;Amcoe
fb4;fb4c2;Fruit Bonus 2004 (Version 1.5LT, set 2);2004;Amcoe
fb4;fb4d1;Fruit Bonus 2004 (Version 1.5R, set 3);2004;Amcoe
fb4;fb4d2;Fruit Bonus 2004 (Version 1.5LT, set 3);2004;Amcoe
fb4;fb4exp;Fruit Bonus 2005 (2004 Export - Version 1.5E Dual);2004;Amcoe
fb4;fb4o;Fruit Bonus 2004 (Version 1.3XT);2004;Amcoe
fb4;fb4o2;Fruit Bonus 2004 (Version 1.2);2004;Amcoe
fb4;fb4v1;Fruit Bonus 2004 (Version 1.5R Dual);2004;Amcoe
fb4;fb4v2;Fruit Bonus 2004 (Version 1.5LT Dual);2004;Amcoe
;fb5;Fruit Bonus 2005 (Version 1.5SH, set 1);2005;Amcoe
fb5;fb5c;Fruit Bonus 2005 (Version 1.5SH, set 2);2005;Amcoe
fb5;fb5d;Fruit Bonus 2005 (Version 1.5SH, set 3);2005;Amcoe
fb5;fb5v;Fruit Bonus 2005 (Version 1.5SH Dual);2005;Amcoe
;fb6;Fruit Bonus '06 - 10th anniversary (Version 1.7E CGA);2006;Amcoe
fb6;fb6d1;Fruit Bonus '06 - 10th anniversary (Version 1.7R CGA);2006;Amcoe
fb6;fb6d2;Fruit Bonus '06 - 10th anniversary (Version 1.7LT CGA);2006;Amcoe
fb6;fb6s1;Fruit Bonus '06 - 10th anniversary (Version 1.7R CGA, Compact PCB);2006;Amcoe
fb6;fb6s2;Fruit Bonus '06 - 10th anniversary (Version 1.7LT CGA, Compact PCB);2006;Amcoe
fb6;fb6s3;Fruit Bonus '06 - 10th anniversary (Version 1.3R CGA, Compact PCB);2006;Amcoe
;fb6se;Fruit Bonus 2006 Special Edition (Version 1.4E CGA);2006;Amcoe
fb6se;fb6sed1;Fruit Bonus 2006 Special Edition (Version 1.4R CGA);2006;Amcoe
fb6se;fb6sed2;Fruit Bonus 2006 Special Edition (Version 1.4LT CGA);2006;Amcoe
fb6se;fb6sev;Fruit Bonus 2006 Special Edition (Version 1.4E Dual);2006;Amcoe
fb6se;fb6sev1;Fruit Bonus 2006 Special Edition (Version 1.4R Dual);2006;Amcoe
fb6se;fb6sev2;Fruit Bonus 2006 Special Edition (Version 1.4LT Dual);2006;Amcoe
fb6;fb6v;Fruit Bonus '06 - 10th anniversary (Version 1.7E Dual);2006;Amcoe
fb6;fb6v1;Fruit Bonus '06 - 10th anniversary (Version 1.7R Dual);2006;Amcoe
fb6;fb6v2;Fruit Bonus '06 - 10th anniversary (Version 1.7LT Dual);2006;Amcoe
;fbait2bc;Fisherman's Bait 2 - A Bass Challenge (GE865 VER. UAB);1998;Konami
;fbaitbc;Fisherman's Bait - A Bass Challenge (GE765 VER. UAB);1998;Konami
;fbaitmc;Fisherman's Bait - Marlin Challenge (GX889 VER. EA);1999;Konami
fbaitmc;fbaitmca;Fisherman's Bait - Marlin Challenge (GX889 VER. AA);1999;Konami
fbaitmc;fbaitmcj;Fisherman's Bait - Marlin Challenge (GX889 VER. JA);1999;Konami
fbaitmc;fbaitmcu;Fisherman's Bait - Marlin Challenge (GX889 VER. UA);1999;Konami
;fball;Fire Ball (FM Work);1992;FM Work
;fball_ii;Fireball II;1981;Bally
;fbclass;Fireball Classic;1984;Bally
;fbcrazy;Football Crazy (Video Quiz);1997;BFM
;fbdeluxe;Fruit Bonus Deluxe (Version 1.0.9);200?;Amcoe
fbdeluxe;fbdeluxeo;Fruit Bonus Deluxe (Version 1.0.7);200?;Amcoe
;fbfrenzy;Football Frenzy (NGM-034 ~ NGH-034);1992;SNK
;fc100;FC-100;1982;Goldstar
;fc_disksys;FC RAM Expansion + Disk System PCB;;
;fccpu1;SYS68K/CPU-1;1983;Force Computers GmbH
;fccpu20;Force Computer SYS68K/CPU-20 CPU Board;;
;fccpu20sbc;SYS68K/CPU-20;1986;Force Computers GmbH
;fccpu21;Force Computer SYS68K/CPU-21 CPU Board;;
;fccpu21a;Force Computer SYS68K/CPU-21A CPU Board;;
fccpu20sbc;fccpu21asbc;SYS68K/CPU-21A;1986;Force Computers GmbH
;fccpu21b;Force Computer SYS68K/CPU-21B CPU Board;;
fccpu20sbc;fccpu21bsbc;SYS68K/CPU-21B;1986;Force Computers GmbH
;fccpu21s;Force Computer SYS68K/CPU-21S CPU Board;;
fccpu20sbc;fccpu21sbc;SYS68K/CPU-21;1986;Force Computers GmbH
fccpu20sbc;fccpu21ssbc;SYS68K/CPU-21S;1986;Force Computers GmbH
;fccpu21ya;Force Computer SYS68K/CPU-21YA CPU Board;;
fccpu20sbc;fccpu21yasbc;SYS68K/CPU-21YA;1986;Force Computers GmbH
;fccpu21yb;Force Computer SYS68K/CPU-21YB CPU Board;;
fccpu20sbc;fccpu21ybsbc;SYS68K/CPU-21YB;1986;Force Computers GmbH
;fccpu30;SYS68K/CPU-30;1988;Force Computers GmbH
fccpu30;fccpu30be16;SYS68K/CPU-30BE/16;1996;Force Computers GmbH
fccpu30;fccpu30be8;SYS68K/CPU-30BE/8;1996;Force Computers GmbH
fccpu30;fccpu30lite4;SYS68K/CPU-30Lite/4;1996;Force Computers GmbH
fccpu30;fccpu30lite8;SYS68K/CPU-30Lite/8;1996;Force Computers GmbH
